corpus: preloaded/bawe2
subcorpus: -
size: 1638
query: Query:[lc="run" | lemma_lc="run"]
Case study | "2 <s> Centro has the power to restrict the number of companies that operate along any particular route. </s><s> Only commercially run routes can be serviced by operators who do not win contracts. </s><s> This situation arises because Centro has authority 
Design specification | or lowered, as it's frame angles adjust as it travels up and down. </s> Conclusions <s> I have decided the pantograph should run a relatively high voltage of 750v, which is at the top of the scale of the HSE's guidelines without requiring further 
Methodology recount | go into the hardware of the current system, and question 4 could say what hardware the company my need/has purchased to run the new system on. </s><s> Both leave question 1 obsolete. </s> Seminar 2 - Extracting mechanical work from compressed gas <s> The best 
Methodology recount | materials or fluids and be free from corrosion in the environment in which it is used. </s><s> The engine must be easy to start and run . </s><s> To allow for different circumstances of use, the r.p.m. of the engine must be adjustable by the user and an idle mode 
Methodology recount | use, the r.p.m. of the engine must be adjustable by the user and an idle mode should be incorporated to allow the engine to run at a slow speed between uses or short carrying journeys. </s><s> This may incorporate a centrifugal clutch to stop the device 
Methodology recount | shut to regulate the pressure (i.e. amount) of fuel/air mixture allowed into the combustion chamber to make the engine run faster (more mixture can be burned: bigger explosion), or slower. </s><s> Similarly, just before the choke tube is another 
Case study | AND FIELD COURSEAssignment 1Micro-hydro report Second Year EDAT Undergraduate I002Background <s> Nick Mills runs a small hydroelectric scheme in a Welsh valley. </s><s> His present set-up uses a turgo turbine which drives a 230v AC output 
Case study | would cost in the region of £ 5000. </s><s> A fully installed turbine would cost in the region of £ 10000. </s><s> One option would be to run a centrifugal pump as a turbine. </s><s> This would involve running a normal water pump at roughly 50rpm above its rated speed, 
Case study | turbine would cost in the region of £ 10000. </s><s> One option would be to run a centrifugal pump as a turbine. </s><s> This would involve running a normal water pump at roughly 50rpm above its rated speed, with a maximum power output of 0.7 of the rated power 
Case study | that the old turbine will be insufficient. </s><s> While the turbine only has a calculated efficiency of 30-40%, it is still running normally, and required little maintenance, therefore there is little need to replace it. </s><s> This is a pricey option which 
Methodology recount | the pipe is connected to a fluid reservoir which is filled from a pump. </s><s> The pump takes its intake from a second pipe which runs from a reservoir at the outlet of the first pipe. </s><s> This reservoir is balanced on weighing scales and a valve controls 
Methodology recount | of mercury ρHg = 13530 kg/m³, at a temperature of 300K. internal diameter of pipe d = 0.019 m.Experimental Procedure <s> Two runs - one for LAMINAR flow and one for TURBULENT flow. </s><s> In both cases: </s><s> Measure the mass flow rate and therefore in. </s><s> Pressure at 
Design specification | which makes economic use of available space. </s> Introduction <s> A battery-powered drill is driven by a 36W electric motor running at 9000 rev/min. </s><s> The drill speed is to be about 360 rev/min. </s><s> This reduction could be carried out in two identical stages ( 
Design specification | would be performed on the second planetary system. </s> Computer analysis and optimisation <s> Figure 2 shows the initial run for the first gear train of the gearbox. </s><s> The points of interest have been highlighted. </s><s> Firstly, upon calculating the 
Design specification | may have to be a boss on the gear to allow greater contact length between shaft and gear. </s> Figure 2: Initial gear program run output <s> To check that the values in Figure 2 are being calculated accurately by the program, the programs calculations 
Design specification | first reduction, because torque is doubled and hence stresses on the teeth are doubled also. </s> Figure 1: First program run for second speed reduction <s> The face width could be increased and the rest of the parameters left as they are, however 
Design specification | will hopefully require the program to increase the face width to a point where it becomes acceptable. </s><s> Figure 2 shows a run of the program with phosphor bronze chosen as the material. </s><s> Although the material is 20 times as expensive as other 
Design specification | General guide to bearing type X. Ping Liu. Design of Machines - ES388 [lecture notes]. Page 33. <s> All other bearings are to run at high speed but unloaded. </s><s> In which case rubbing bearings, being the cheapest option, are no doubt suitable. </s> 
Essay | , although sometimes in conjunction with another theatre. </s><s> As the Derby Assembly Rooms and the Guildhall Theatre - both run by Derby City Council are located within the same audience catchments area, the artistic programme of the Playhouse 
Essay | One in today's productions of The Tempest. </s><s> There is no way of knowing if it ever happened in 1610. </s><s> We know that the scenes ran quickly from one to the next - made possible with so little scenery. </s><s> At the end of Scene One the ship almost magically 
Essay | over." <s> Untrustworthy as he is, I find him less of a villain than Manly, for his character is really one of a grown up boy who runs away from responsibility and likes variety: </s> "The Joys of Love are only great when they are new; and to make 'em lasting, 
Essay | a course of mirth, there another of sorrow and passion, and a third of honour and a duel: thus in two hours and a half, we run through all the fits of Bedlam." John Dryden <s> Rahill, Frank, The World of Melodrama, Pvi. </s><s> The prime reason for the 
Essay | Ann Martin, the subplot of Ann's relationship with Timothy Bobbin, was created purely as a form of comical relief running parallel to the central narrative. </s><s> Their comic roles, together with the gypsy type character Johnny Raw, were popular 
Essay | , </s> ANN: 'Yes you will Timothy; and what's more, you'll kiss me too.' TIMOTHY: 'Shall I? When?' ANN: 'When you catch me' ( Runs Off). TIMOTHY: 'Dang'd if I don't try!' (Runs after her). <s> Many of the elements of The Murder in the Red Barn are similar to 
Essay | , you'll kiss me too.' TIMOTHY: 'Shall I? When?' ANN: 'When you catch me' (Runs Off). TIMOTHY: 'Dang'd if I don't try!' ( Runs after her). <s> Many of the elements of The Murder in the Red Barn are similar to the typical traits of a Gothic drama. </s><s> A few to 
Essay | open and I walk through them, feeling like a trespasser. </s><s> The whole place is asleep, the only sounds coming from the road running parallel to the park. </s><s> I think back to July, fighting my way through waves of people towards the entrance kiosks. </s><s> Above 
Case study | global warming caused by man-made carbon dioxide emissions. </s><s> There is also growing concern that fossil resources are running out. </s><s> The problems are worsened by the increasing energy usage worldwide- there is expected to be a 60% increase in 
Methodology recount | the field is rotating. </s><s> This type of motor is known as an induction motor. </s><s> In order for it to operate it must always run slower than the frequency of the power supply feeding it causes the magnetic field in the motor to rotate, otherwise no 
Methodology recount | , W1 respectively. </s><s> (D) is switched on again. </s> Torque and efficiency: Measurements <s> After switching on (D), the motor is running without any load. </s><s> The dynamometer is set for manual control of torque and it is initialised to zero. </s><s> The speed range is 
Methodology recount | in order to avoid damage to the insulation. </s><s> The motor is switched off immediately after it stops. </s><s> This motor stops running when the load is too large. </s> Analysis of Results <s> A graph is plotted for torque against speed (Refer to Graph A). </s><s> The 
Methodology recount | value for the motor. </s><s> Hence, the rated value is the point of maximum efficiency for the motor (69%). </s><s> It can be deduced that running the motor to drive small loads becomes disadvantageous since the efficiency is not maximised. </s><s> There is more loss of 
Essay | the Enlightenment world-view was extremely influential, except in deciding to establish a penal colony which ran counter to Jeremy Bentham's ideal of the Panopticon. </s><s> Although, by the end of the period in question, even the system of 
Essay | of the Enlightenment ideas). </s><s> Therefore, as Gascoigne has described 'In some ways... the Australian experiment ran counter to the theories of the Enlightenment'. He is of course referring to the method of transportation as being 
Essay | Gascoigne also argues that the Australian experiment was largely successful in reforming the convicts even though it ran counter to Enlightenment ideas - 'Convicts demonstrated that human nature was too complex and too contrary to be 
Essay | as the railroad crossings which were a danger to their safety. </s><s> Ibid, p. 162-3. </s><s> Railroads were private investments, run for private gain. </s><s> Towns were built only because the railroad directors had instructed them to be built there. </s><s> The axe 
Essay | [was spent on railways]...at the rate of £ 21,000 a mile." </s><s> Irrigation too was criticised, as it would not make water run up hill or produce water in times of drought. </s><s> Hyndman, The Bankruptcy of India, p. 60. </s><s> Ibid, p. 64. </s><s> Ibid, p. 65. </s><s> Ibid, pp. 
Essay | economy exists as a 'result of concessions given...to accommodate and even promote market exchange, with the long run aim of strengthening the (tax basis of) the state itself'. </s><s> This is a counter-intuitive idea: the ruling elites had 'to 
Critique | with their main caregiver, known as attachment theory, was first advanced by John Bowlby in 1951. </s><s> For 20 years, Bowlby ran a weekly mother's group at a local clinic, where he made informal observations of a random sample of babies and young 
Essay | refers to the policy of preventing or discouraging an action by confronting an opponent with risks he is unwilling to run '. </s><s> Whilst the avoidance of nuclear war has for some proved the effectiveness of deterrence, its critics argue the 
Methodology recount | the given simulation model with only birth and death processes. </s><s> According to the graphic investigations of control run and experimental runs with variable dispersal rates, this simulation experiment predicted that the mean of the 
Methodology recount | model with only birth and death processes. </s><s> According to the graphic investigations of control run and experimental runs with variable dispersal rates, this simulation experiment predicted that the mean of the population sizes would 
Methodology recount | , this simulation experiment predicted that the mean of the population sizes would mainly steady in relation to long run time. </s><s> However, dispersal process was estimated to be responsible for increasing the mean of population sizes, but 
Methodology recount | studies, stochastic simulation models are increasingly used to approximate the probability of certain outcomes by running multiple trial runs. </s><s> (Bernstein, 2003) Monte Carlo simulation is a remarkable stochastic population simulation 
Methodology recount | models are increasingly used to approximate the probability of certain outcomes by running multiple trial runs . </s><s> (Bernstein, 2003) Monte Carlo simulation is a remarkable stochastic population simulation model for problem 
Methodology recount | simulations. </s><s> It enables ecologists to test various strategies and analyse the simulation results in the long run relying on the known theories. </s><s> Monte Carlo simulation can also be described as a collection of Poisson processes that 
Methodology recount | , this Monte Carlo simulation experiment was carried out and aimed on the means of population size in relation to long run time. </s><s> In addition, MatLab contributes the simulation with visual aids to see how would the outcome of interest work out 
Methodology recount | files as one of the processes in Monte Carlo simulation. </s><s> Before entering dispersal event into the files, a control run without dispersion was produced by running 'dosims05' via MatLab software. </s><s> There popped up four graphs, which only 
Methodology recount | Carlo simulation. </s><s> Before entering dispersal event into the files, a control run without dispersion was produced by running 'dosims05' via MatLab software. </s><s> There popped up four graphs, which only the first graph of each series graphs was 
Methodology recount | . </s><s> Dispersal variables were added into 'dosims05' in the same form as birth rate and death rate set as 0.5. </s><s> (Appendix I) By running 'dosims05', each certain dispersal rate produced a series of graphs. </s><s> Same as done for summarizing the 12 repetitions 
Methodology recount | ', each certain dispersal rate produced a series of graphs. </s><s> Same as done for summarizing the 12 repetitions in control run , the mean of 12 means of population sizes was generated for each dispersal rate variable. </s> ResultsControl run: without 
Methodology recount | control run, the mean of 12 means of population sizes was generated for each dispersal rate variable. </s> ResultsControl run : without dispersion i.e. they were not metapopulation. <s> Birth rate and death rate were both initialized as 0.5, which 
Methodology recount | over time because birth and death occurred at equal statistical probability. </s><s> This can be tested from a control run by graphic investigation. </s><s> Based on figure 1 below, without dispersion, the means of population sizes all emerged 
Methodology recount | in colors. The black crosses are the means of the means of population sizes at each time point.Experimental runs : variable dispersal rates as 0.2, 0.5, 0.8, respectively. Mean Population Size Over Time With 0.2 Dispersal 
Methodology recount | 4, figure 5), the average lines of means of population sizes were plotted out in the same procedure done for the control run . </s><s> Comparing figure 3 with figure 2, the means of average population sizes with no dispersion and with 0.2 dispersal rate 
Methodology recount | of stochastic simulation. </s><s> The randomcity event rates might result in a conspicuous mean of population sizes in long run , but with a comparatively low frequency. </s><s> The control run was only involved birth and death processes, which was not 
Methodology recount | might result in a conspicuous mean of population sizes in long run, but with a comparatively low frequency. </s><s> The control run was only involved birth and death processes, which was not metapopulation. </s><s> The trendline was found declining within 
Methodology recount | limited extent. </s><s> It predicted that the population with no dispersion is likely shrinking in population size in long run . </s><s> The ones with 0.5 and 0.8 dispersal rate maintained slightly above the initial population size, however this could 
Methodology recount | . </s><s> This can be considered as a bias of this stochastic simulation although the probability is very low and for long run stimulation effect will be trace. </s><s> Furthermore, distinguishing metapopulation from single population implies 
Essay | Dream and Plato's Republic present dramatically differing views on the nature of truth. </s><s> Plato's conception of truth runs in line with his metaphysics of The Theory of Forms, in which the objects of the sensory world we inhabit are mere shadows 
Essay | , and crisis'. </s><s> Significantly, Hardt and Negri elevate the paradox of liberal ideology: 'A contradiction that runs throughout European modernity...the immanent forces of desire and association, the love of the community, and on the 
Essay | because she had 'raysed stryffe between Rycharde Rode and his wiffe'. In 1563 a Cranbrook woman was accused of running a brothel in the same hearing as for witchcraft and in 1569 in Aldinton Margaret Dale was accused of being a witch when it 
Essay | his writings, Braudel was nonetheless principally a builder, more effective in the solidity of institutions that he ran than by the originality of his themes." </s><s> As heir to Febvre to the Annales throne he was 'devoted and faithful to the man he 
Methodology recount | . </s><s> Though the Death Phase was not indicated in this figure, it's the final fate of the cells when all the nutrients have run out. </s><s> The discussion and conclusion of the viable count is not included in this report. </s> Appendix 1 - data for determine 
Critique | well with experiment - where the area per head group is used as a metric. </s><s> During this study a total of ten simulations were run . </s><s> These were as follows: </s> RANDOM I : 1500 DPPC molecules simulated for .RANDOM II: 1500 DPPC molecules simulated for . 
Critique | - lysoPC: lysolipids added to Bicelle <s> The first four of these had a random initial configuration of phospholipids. </s><s> The runs RANDOM I, RANDOM II and RANDOM III had 1500 lipid molecules solvated in 400,000 WAT molecules (corresponding to 1.6 
Critique | III had 1500 lipid molecules solvated in 400,000 WAT molecules (corresponding to 1.6 million water molecules.) </s><s> Run RANDOM IV had 2500 lipid molecules. </s><s> The remaining six simulations took an intermediate stage (called the Bicelle) of 
Critique | lipid molecules. </s><s> The remaining six simulations took an intermediate stage (called the Bicelle) of one of the random runs as a starting point. </s><s> Runs BICEL I, BICEL II and BICEL III, used pure DPPC and could therefore be seen as continuation of 
Critique | six simulations took an intermediate stage (called the Bicelle) of one of the random runs as a starting point. </s><s> Runs BICEL I, BICEL II and BICEL III, used pure DPPC and could therefore be seen as continuation of the random simulations. </s> 
Critique | II and BICEL III, used pure DPPC and could therefore be seen as continuation of the random simulations. </s><s> The remaining runs other phospholipids were added to the DPPC such that the effect of these other molecules could be assessed. </s> Formation 
Critique | containing similar number of lipids both on the outer and inner layers. </s><s> The exception to this was the vesicle formed in run RANDOM IV; in this run there were many more phospholipid molecules present (2500 as opposed to 1500 in other random runs 
Critique | number of lipids both on the outer and inner layers. </s><s> The exception to this was the vesicle formed in run RANDOM IV; in this run there were many more phospholipid molecules present (2500 as opposed to 1500 in other random runs) and a structure 
Critique | run RANDOM IV; in this run there were many more phospholipid molecules present (2500 as opposed to 1500 in other random runs ) and a structure called a hemifused vesicle formed. </s><s> This structure resembled two smaller vesicles stuck together 
Case study | a 6-week history of tiredness, low mood and occasional neck and shoulder pain. </s><s> He complained of feeling generally " run down" during this period and had been struggling with his usual daily activities such as shopping. </s><s> For a few days prior 
Case study | with his usual daily activities such as shopping. </s><s> For a few days prior to his admission he also reported a cold sensation running across top of his back and shoulders and some occasional discomfort in left loin region. </s><s> He did not report any pyrexia or 
Essay | for this topological work is breathtaking. </s><s> We aim to give a good introduction to some of this mathematics which runs through Kahler manifolds to ASD connections. </s> Contents0.1 IntroductionThis project is, indeed, presented as a 
Methodology recount | Quarter 4, as required. </s><s> It was then necessary to estimate the trend of the data. </s><s> To do this, the averages over successive runs of four quarters were required. </s><s> It is assumed that the RSI consists of a trend component (Tt), a seasonal component (St) 
Methodology recount | <s> The trend of the series is determined by calculating moving averages. </s><s> The idea is to find averages over successive runs for four quarters. </s><s> If Xt equals the observation of the variable at time t, the average over the first four quarters can be 
Methodology recount | the sources with specific photopeak energy levels were each in turn placed into the source chamber and the program was run for a period of 120 seconds. </s><s> The emission spectra for both sources were displayed on the same axes, clearly showing two 
Explanation | happen in the near future. </s><s> Such speculations on the future of quantum computing and the algorithms it may be possible to run on them are beyond the scope of this essay however. </s><s> So for the near future at least, as long as you choose a large enough N, 
Essay | . </s><s> John Black (2002), Oxford dictionary of Economics, pg 204 </s><s> Strictly speaking Economic growth refers only to long run potential growth which is represented by an outward shift of the production possibility frontier as illustrated in 
Essay | shift of the production possibility frontier as illustrated in figure 1. </s><s> However in this essay we shall include short run actual growth (reflected by an increase in real per capita GDP) in our definition of economic growth. </s> Table 1: European 
Essay | growth in the next period. </s><s> Solow's growth model suggests that growth is independent of investment rate. </s><s> Instead long run growth of income per person is dependent on exogenous improvements in technology which generates productivity 
Essay | knowledge. </s><s> Investment generated substantial addition to GDP by raising demand in many sectors and it ensures short run efficiency of the firm's plant and equipment. </s><s> Furthermore it also promoted the long run growth of a firm by encouraging 
Essay | sectors and it ensures short run efficiency of the firm's plant and equipment. </s><s> Furthermore it also promoted the long run growth of a firm by encouraging a high degree of innovation. </s><s> Eichengreen argues that postwar European countries 
Essay | up growth given its lower productivity level in 1950. </s><s> Conditional convergence refers to the adjustment towards long run equilibrium in capital to labour ratio and reduction in organizational and technological gaps between leaders and 
Essay | implicit assumption in the question is that the ultimate long term goal of the firm is that of survival and in the short run firms have to first pursue profit maximization. </s><s> This essay supports the case that, to the extent firms face fierce 
Essay | by cutting back their production. </s><s> Conversely where MR MC, by increasing its output firms can raise profits. </s><s> Thus long run equilibrium is established at the profit maximizing level of output, x* where MC=MR. </s> Figure 1: Profit maximization in 
Essay | cash flow, shrinking market and takeovers by acquisition-minded firms. </s><s> In crisis situations when the firm's long run existence is at stake, survival objectives can take precedence over profit objectives. </s><s> Increasingly firms have been 
Exercise | the 100m time by re-arranging to x= (y+2.036)/0.605 </s><s> There is a positive correlation. </s><s> As the length of time it takes to run 200m increases, the length of time it takes to run 100m increases. </s> Constructive Criticism: <s> The data is based on 
Exercise | <s> There is a positive correlation. </s><s> As the length of time it takes to run 200m increases, the length of time it takes to run 100m increases. </s> Constructive Criticism: <s> The data is based on sprinters whose best event is the 200m because to find the 
Exercise | represent hardly any athletes as the best athletes will obviously train much more and harder than an average person who runs for fun. </s><s> The coach should be very careful who applies his predictions too. </s><s> The data is specific to the year 1998. </s><s> This is 
Exercise | is better than no solution at all. Of course, it is important to compare heuristics with regard to computer running time for the other algorithms and ease of implementation. </s> Suggestions for further work: <s> Investigation into a 
Explanation | starvation fatty acids are fuelling every tissue of the body except the red blood cells. </s><s> When the starving person runs out of stored triacylglycerols. </s><s> Proteins become the only source of fuel. </s><s> Soon the proteins of the individual have 
Essay | individual as well. </s><s> Her transformation from a nice, well-liked stable member of society to a murderer without remorse runs parallel to her appearances in the Zeitung and how the imbroglio progresses. </s><s> One can have no doubt that these 
Essay | for the camera - indeed the podiums and stages in the film were constructed with enough space for the camera tracks to run in front of them: "the preparations for the Party Convention were made in connection with preparations for the camera 
Essay | on socially useful enterprises. </s><s> 20 </s><s> It appears anomalous that English law should foster a 'compensation culture' running contrary to western libertarian, individualist philosophy. </s><s> As Atiyah highlights, litigation enables lawyers to 
Empathy writing | are therefore limited. </s><s> HAZ's are still very much a work in progress and represent a long-term financial commitment by running for up to 7 years. </s><s> I believe that HAZ's in conjunction with other national policies, e.g. the introduction of Health 
Essay | . </s><s> General medical council 44 Hallam street, London W1n 6AE </s><s> The Oxford international centre for palliative care runs a number of informative and exploratory courses aimed at health care professionals. The theme throughout all of these 
Problem question | notably OLL Ltd. and Kite, where several children were killed in a canoeing disaster. </s><s> Since only Mr. Kite and his wife ran the company, it was easy to identify Mr. Kite as the 'will' of the company. </s><s> However, with increase in organizational 
Methodology recount | to photoinhibition. </s><s> Mann NH (unknown date) Impact of bacteriophages on photosynthesis in the oceans. </s><s> In this paper, I run analyses on the assessment sequence to identify the open reading frames (potential genes) and compare the 
Essay | of Lord Denning's reformist approach was that he saw no need for establishing differences in such trusts: "the two run together", per Lord Denning in Hussey v. </s><s> Palmer [1972] 1 W.L.R. 1286 at 1289. </s><s> which if made in accordance with section 
Essay | a time penalty clause, to carry out carpentry work in a block of flats for an agreed price of £ 20,000. </s><s> The plaintiff then ran into financial difficulty due to the agreed price being too low for him to operate profitably at. </s><s> Consequently, a new 
Essay | defined a newly revised legal position, essentially stating that in situations when one of two contracting parties runs into difficulty and is potentially unable to fully perform their contractual obligations, a new agreement can be 
Essay | some whilst sentencing others, could not serve as a legitimate system of international criminal justice in the long run . </s><s> It would be unable to acquire the respect and therefore the co-operation of the international community, and would 
Essay | modern economic growth. </s><s> Firstly, although it did enjoy growth in per capita income and population (1 st criterion), it ran into diminishing returns as it lacked "macro inventions" such as powered machinery and fossil fuels. </s><s> Furthermore, it 
Essay | engine, fossil fuels, which prevented the Dutch economy from moving into modern factory industry, and therefore ran into diminishing returns, making growth unsustainable. </s> Leaving the "Efficient Market Hypothesis" behind - Noise 
Essay | benefit in January this year, there near continuation of the Conservative policies in pension schemes has been a theme running throughout Blair's tenure- with the further encouragement of private provision and simplified means-testing and 
Essay | posits that the effects of VET have been felt uniformly within the confines of their respective borders, and so one runs the risk of disregarding the disparities in outcomes inside a country. </s><s> For example, as the essay shall later show, the 
Essay | year olds) in Germany passes through it, with most courses offering of a rigorous training lasting three years. </s><s> It is run on a cooperative basis between private enterprisers, who offer practical apprenticeships to the trainee, and 
Essay | Brown and Milburn (46-54) White merely dismisses Milburn as 'careless' (49) and points out that 'for the second day running Mr. Milburn endorsed Mr. Brown's stress on the centrality of the economic message' (67-70). </s><s> In examining The 
Essay | hospitals and other important service providers to become organizationally and financially autonomous and to be run as independent trusts. Larger GP surgeries became independent and were allocated national cash budgets rendering 
Methodology recount | frequently opening to release any pressure. </s><s> The two layers were then allowed to separate and the aqueous layer was run off. </s><s> This process was the repeated with a further portion of 2m Sodium hydroxide (25ml) and the two aqueous layers 
Methodology recount | product recrystalllised from methanol. </s><s> The purified product was then weighed, a melting point taken and a TLC plate run (eluting the plate with a 1:1 toluene: ethyl acetate mix) </s> ResultsCriterion of purityPercentage yields <s> TLC analysis - 
Methodology recount | through the septum on the top of the instrument, by a swift movement and then the integrator stripped by pressing the " run " button on the chromatograph. </s><s> The syringe was withdrawn after 3 seconds, and the created chromatogram printed. </s><s> This 
Critique | may be forming a complex with Sodium chloride. </s><s> A complex was synthesised and an X-ray powder diffraction pattern run ; this was found to match the unidentifiable substance. </s><s> This shows the analytical value of a technique such as X-ray 
Critique | is was necessary to cut the propeller into four parts; however during his crime the gasoline fuelled cutter he was using ran out of fuel. </s><s> The man was seen fleeing from the scene and his license plate recorded. </s><s> Police later traced the mans 
Essay | sinister concerning the 'undesirable' children; while the 'desirable' children are taken by officers to nurseries run by the state, the 'undesirables' will be taken away and secretly disposed of. </s><s> Plato, Republic, 460c. </s><s> What is the 
Research report | approximately 3mm in diameter were punched at regular intervals of around 150-200mm along the section of pipe that ran inside the gutter. </s><s> The water flow was adjusted using the pumps' control valves to ensure minimum water was lost through 
Research report | to reduce evaporation. </s><s> The same material was also attached to the lower end of the gutters so the returning water ran down the cloth and into the tanks with minimal splashing (Figure 2.3). </s><s> This also had the secondary effect of increasing 
Research report | . </s><s> In order to facilitate this without purchasing further fish, the aquaponic + Fe treatment was omitted. </s><s> This trial ran from 27th November to 18th December with the addition of glasshouse heating and supplementary overhead lighting. </s> 
Methodology recount | , coverage estimation was done by the same person through out the project. </s><s> Even counting number of plants could run into problem, sometime it was difficult to tell how many plants were there in a large clump, where did an individual 
Research report | . </s><s> Electrophoreses of 1% gel (1g of agarose with 100 ml of TAE buffer and 2 l of 10 mg/ml ethidium bromide), which run at 120v for 30 minutes were conducted as well as micro-capillary fragment analysis were carried out to the products of 
Research report | DNA extracted from a spare leaf sample of I. noli-tangere. </s><s> The protocol of the PCRs universal primers screening test run is listed in Table 2.7 and they were performed on either Applied Biosystems or M J Research thermocyclers using one of 
Research report | BIO-25012 <s> Electrophoreses of 1% gel (1g of agarose with 100 ml of TAE buffer and 2 l of 10 mg/ml ethidium bromide), which run at 90v for 50 minutes were conducted to check the results of PCRs. </s><s> As some of the PCR products were very weak and in order to 
Research report | design UREASE reverse2 primers were used in the experiment. </s><s> The protocol for the reaction is given in Table 2.10 and ran on a Rotor-Gene 6000 machine from Corbett Life Science on a 72-well rotor with the following thermal cycle programme: 
Essay | 's grave with her brother and in the next she loses that same brother: </s> And when the ground was white with snow, And I could run and slide, My brother John was forced to go, And he lies by her side. (57-60) <s> The seasons are always a cause for excitement 
Essay | level lower than the asocial dictates of the market. </s><s> Thus, "social housing" will be taken to be a type of tenure that is run on a non-profit basis offering a rent price lower than the market level. </s><s> Significant state funding and involvement 
Essay | rented housing. </s><s> HLMs (housing with moderate rents) organisations enjoyed generous state assistance in building and running social housing. </s><s> In the 1960s, the usual form of central government financial initiatives were long-term loans (over 
Critique | . </s><s> Similarly, the lower the probability of being detected shirking, the higher the rate of interest (that is, the short run gains from shirking is relatively more important), and the higher the exogenous quit rate, the higher the critical 
